common_name,scientific_name,conservation_status
"Winter Bentgrass, Ticklegrass",Agrostis hyemalis,N
"Coastal Bog Bentgrass, Tall Bentgrass",Agrostis altissima,N
Autumn Bentgrass,Agrostis perennans,N
Chalky Bluestem,Andropogon cretaceus,N
"Big Bluestem, Turkeyfoot",Andropogon gerardii,N
Oakleaf Goosefoot,Oxybasis glauca,N
Large-flowered Coreopsis,Coreopsis grandiflora,N
"Pine-barrens Peanut Grass, Pine-Barrens Goobergrass, Blue Maidencane",Amphicarpum amphicarpon,N
American Beach Grass,Calamagrostis breviligulata,N
Meadow Foxtail,Alopecurus pratensis,N
Slender Foxtail Grass,Alopecurus myosuroides,N
Water Foxtail Grass,Alopecurus geniculatus,N
Carolina Foxtail Grass,Alopecurus carolinianus,N
Short-awn Foxtail Grass,Alopecurus aequalis,N
"Early Hairgrass, Spike Hairgrass",Aira praecox,N
Elegant Hairgrass,Aira elegans,N
Silver Hairgrass,Aira caryophyllea,N
Davis's Sedge,Carex davisii,N
Greater Periwinkle,Vinca major,N
Savanna Coreopsis,Coreopsis linifolia,N
Long-stalk Coreopsis,Coreopsis lanceolata,N
"Low Wild-petunia, Hairy Wild-petunia",Ruellia humilis,N
"Small White Snakeroot, Lesser Snakeroot",Ageratina aromatica,N
Southern Horseweed,Erigeron pusillus,N
Carolina Thistle,Cirsium carolinianum,N
"Chicory, Succory",Cichorium intybus,N
"Water-hemlock, Spotted Water-hemlock",Cicuta maculata,N
"Winter Creeper, Climbing Euonymus",Euonymus fortunei,N
Cottony Golden-aster,Chrysopsis gossypina,N
"Skeleton-weed, Rush Skeleton-weed",Chondrilla juncea,N
"Plains Frostweed, Hoary Frostweed",Crocanthemum bicknellii,N
"Sandy-woods Chaffhead, Sandhill Chaffhead",Carphephorus bellidifolius,N
Woolly Chaffhead,Carphephorus tomentosus,N
Spotted Knapweed,Centaurea stoebe,N
Purple Star-thistle,Centaurea calcitrapa,N
"Cornflower, Bachelor's-buttons",Cyanus segetum,N
"Sandhill Thistle, Coastal Plain Thistle",Cirsium repandum,N
Pasture Thistle,Cirsium pumilum,N
Swamp Thistle,Cirsium muticum,N
"Musk Thistle, Nodding Thistle",Carduus nutans,N
False Boneset,Brickellia eupatorioides,N
"Seaside Oxeye, Sea Oxeye",Borrichia frutescens,N
Carolina Doll's-daisy,Boltonia caroliniana,N
"Nodding Beggar-ticks, Nodding Bur-marigold",Bidens cernua,N
Common Yarrow,Achillea borealis,N
White Snakeroot,Ageratina altissima,N
"English Daisy, Lawn Daisy",Bellis perennis,N
"High-tide Bush, Groundsel Tree",Baccharis halimifolia,N
"Hoary Mugwort, Beach Wormwood",Artemisia stelleriana,N
Kentucky Coffee-tree,Gymnocladus dioica,N
Great Indian-plantain,Arnoglossum reniforme,N
Golden Chamomile,Cota tinctoria,N
Corn Chamomile,Anthemis arvensis,N
Shale-barren Pussytoes,Antennaria virginica,N
Single-head Pussytoes,Antennaria solitaria,N
Loose Water-milfoil,Myriophyllum laxum,N
Carolina Green-and-gold,Chrysogonum repens,N
Plantain-leaved Pussytoes,Antennaria plantaginifolia,N
Swamp Milkweed,Asclepias incarnata,N
Prairie Broomweed,Amphiachyris dracunculoides,N
Giant Ragweed,Ambrosia trifida,N
"Wild Sensitive Plant, Sensitive Partridge-pea",Chamaecrista nictitans,N
"Marsh Patridge-pea, Marsh Senna",Chamaecrista fasciculata,N
Little Mouse-ear Chickweed,Cerastium semidecandrum,N
Dwarf Mouse-ear,Cerastium pumilum,N
"American Hornbeam, Ironwood",Carpinus caroliniana,N
Common Mouse-ear Chickweed,Cerastium fontanum,N
Gray Mouse-ear Chickweed,Cerastium brachypetalum,N
Oriental Bittersweet,Celastrus orbiculatus,N
"Climbing Bittersweet, American Bittersweet",Celastrus scandens,N
"Southern Harebell, Appalachian Bellflower",Campanula divaricata,N
Low Bindweed,Calystegia spithamaea,N
Seaside Bindweed,Calystegia soldanella,N
Catesby's False Bindweed,Calystegia catesbeiana,N
Pond Water-starwort,Callitriche stagnalis,N
Terrestrial Water-starwort,Callitriche terrestris,N
"Halberd-leaf Orach, Thin-leaf Orach, Triangle Orach",Atriplex prostrata,N
Spear Orach,Atriplex patula,N
Sea-beach Orach,Atriplex mucronata,N
Anomalous Mouse-ear Chickweed,Cerastium dubium,N
Spreading Sandwort,Arenaria lanuginosa,N
"Common Pyxie-moss, Flowering Pyxie-moss, Big Pyxie",Pyxidanthera barbulata,N
"Shortia, Oconee Bells",Shortia galacifolia,N
Marsh Bellflower,Palustricodon aparinoides,N
Black Huckleberry,Gaylussacia baccata,N
Box Huckleberry,Gaylussacia brachycera,N
Dwarf Huckleberry,Gaylussacia dumosa,N
Downy Lobelia,Lobelia puberula,N
Trailing Arbutus,Epigaea repens,N
Pale-spike Lobelia,Lobelia spicata,N
Ten-lobe False Foxglove,Agalinis obtusifolia,N
Small Waterwort,Elatine minima,N
"Bearberry, Kinnikinick",Arctostaphylos uva-ursi,N
Snowberry,Symphoricarpos albus,N
Thorny Olive,Elaeagnus pungens,N
Autumn Olive,Elaeagnus umbellata,N
American Waterwort,Elatine americana,N
Chamber Bitter,Emblica urinaria,N
Mascarene Island Leaf-flower,Moeroris tenella,N
Cut-leaf Teasel,Dipsacus laciniatus,N
