common_name,scientific_name,category
Binflower Moth,Schinia bina,Other Moths
Bird Dropping Moth,Cerma cora,Other Moths
Birdwing Pearlymussel,Lemiox rimosus,Freshwater Mussels
Black Arches Moth,Melanchra assimilis,Other Moths
Black Bullhead,Ameiurus melas,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Black Crappie,Pomoxis nigromaculatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Black Dancer,Mystacides sepulchralis,Caddisflies
Black Dash,Euphyes conspicua,Butterflies and Skippers
Black Finger-Net Caddisfly,Chimarra aterrima,Caddisflies
Black Firefly,Lucidota atra,Fireflies and Glow-worms
Black Free-Living Caddisfly,Rhyacophila nigrita,Caddisflies
Black Lordithon Rove Beetle,Lordithon niger,Other Beetles
Black Mantleslug,Pallifera hemphilli,Terrestrial Snails
Black Mountain Disc,Discus nigrimontanus,Terrestrial Snails
Black Mountain Saddle-Case Caddisfly,Glossosoma nigrior,Caddisflies
Black Mountain Salamander,Desmognathus welteri,Amphibians
Black Rail,Laterallus jamaicensis,Birds
Black Redhorse,Moxostoma duquesnei,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Black Sandshell,Ligumia recta,Freshwater Mussels
Black Scoter,Melanitta americana,Birds
Black Sculpin,Cottus baileyi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Black Skimmer,Rynchops niger,Birds
Black Striate Snail,Striatura ferrea,Terrestrial Snails
Black Stripetail,Isoperla similis,Stoneflies
Black Swallowtail,Papilio polyxenes,Butterflies and Skippers
Black Tern,Chlidonias niger,Birds
Black Vulture,Coragyps atratus,Birds
Black Zigzag Moth,Panthea acronyctoides,Other Moths
Black-And-Gold Bumble Bee,Bombus auricomus,Bumble Bees
Black-And-White Leaf Beetle,Calligrapha pnirsa,Other Beetles
Black-And-White Warbler,Mniotilta varia,Birds
Black-And-Yellow Lichen Moth,Lycomorpha pholus,Tiger Moths
Black-Barred Brown,Plagiomimicus pityochromus,Other Moths
Black-Bellied Plover,Pluvialis squatarola,Birds
Black-Billed Cuckoo,Coccyzus erythropthalmus,Birds
Black-Blotched Schizurmoth,Oedemasia leptinoides,Notodontid Moths
Black-Capped Chickadee,Poecile atricapillus,Birds
Black-Crowned Night Heron,Nycticorax nycticorax,Birds
Black-Dashed Hydriomenmoth,Hydriomena divisaria,Other Moths
Black-Dotted Ruddy Moth,Ilexia intractata,Other Moths
Black-Etched Prominent Moth,Americerura scitiscripta,Notodontid Moths
Black-Eyed Zale Moth,Zale curema,Other Moths
Black-Headed Gull,Chroicocephalus ridibundus,Birds
Black-Legged Kittiwake,Rissa tridactyla,Birds
Black-Lined Carpenterworm Moth,Inguromorpha basalis,Other Moths
Black-Necked Stilt,Himantopus mexicanus,Birds
Black-Spotted Prominent Moth,Dasylophia anguina,Notodontid Moths
Black-Tailed Diver,Bellura vulnifica,Other Moths
Black-Tailed Jackrabbit,Lepus californicus,Mammals
Black-Throated Blue Warbler,Setophaga caerulescens,Birds
Black-Throated Green Warbler,Setophaga virens,Birds
Black-Tipped Darner,Aeshna tuberculifera,Dragonflies and Damselflies
Black-Waved Flannel Moth,Megalopyge crispata,Other Moths
Blackbanded Sunfish,Enneacanthus chaetodon,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blackburnian Warbler,Setophaga fusca,Birds
Blackpoll Warbler,Setophaga striata,Birds
Blacksburg Salamander,Plethodon jacksoni,Amphibians
Blackside Dace,Chrosomus cumberlandensis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blackside Darter,Percina maculata,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blackstripe Pirate Perch,Aphredoderus ornatus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blacktail Stripetail,Isoperla pseudolata,Stoneflies
Blacktip Jumprock,Moxostoma cervinum,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
Blade Vertigo Snail,Vertigo milium,Terrestrial Snails
Blazing Star Stem Borer,Papaipema beeriana,Papaipema Moths
Blended Hood Caddisfly,Molanna blenda,Caddisflies
Blickle'S Trumpet-Net Caddisfly,Polycentropus blicklei,Caddisflies
Blind Awlsnail,Cecilioides acicula,Terrestrial Snails
Blinded Sphinx Moth,Paonias excaecata,Sphinx Moths
Blotched Chub,Erimystax insignis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys"
